"scientificName","minBodyLengthMM","maxBodyLengthMM","meanBodyLengthMM","wingType","identificationReferences","sizeRef","wingRef","diapause","taxonRank","kingdom","phylum","class","order","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet"
"Amara farcta",6.5,9,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Amarocelia","farcta",""
"Amara impuncticollis",6.7,8.5,,,"Hieke 2000a",,,"hibernate as larva","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Amara","impuncticollis",""
"Agonum decorum",6.8,9,,,"Liebherr 1994","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","decorum",""
"Agonum placidum",6.8,8.8,,"macropterous","Liebherr 1994","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Agonum","placidum",""
"Apenes sinuata",6.8,7.5,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Apenes","","sinuata",""
"Agonum cupreum",7,9.5,,"runs rapidly in the sunshine; variable wings are either full (and probably functionary) or reduced into a small rudiment","Liebherr 1994","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","cupreum",""
"Agonum errans",7,9.3,,,"Liebherr 1994","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","errans",""
"Agonum quinquepunctatum",7,8.5,,"variable","Liebherr 1994","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","quinquepunctatum",""
"Amara confusa",7,9.2,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Amara","confusa",""
"Calathus ingratus",7,11.1,,"wings usually reduced, occasional macropterous individual","Ball and Negre 1972","Lindroth 1969","Lindroth 1969","hibernation at more than one stage","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Sphodrini",,"Calathus","Neocalathus","ingratus",""
"Amara crassispina",7.2,8.8,,,"Hieke 2000a","Hieke 2003",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","","",,"Amara","","crassispina",""
"Agonum fidele",7.3,9,,,"Liebherr 1994",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","fidele",""
"Amara alpina",7.3,11.5,,"probably flightless; polymorphic wing forms","Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Curtonotus","alpina",""
"Amara exarata",7.3,10,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Bradytus","exarata",""
"Amara lunicollis",7.3,9,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969","hibernate as adult, in europe","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Amara","lunicollis",""
"Agonum cupripenne",7.5,9.3,,"Running rapidly in bright sunshine","Liebherr 1994","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","cupripenne",""
